name,brand,price,date,seller
RX 6500 XT,AMD,239,24/09/2022,PCByte
RX 6600,AMD,319,07/10/2022,Mwave
RX 6600 XT,AMD,349,23/07/2022,BPC Tech
RX 6650 XT,AMD,439,09/10/2022,Computer Alliance
RX 6700,AMD,599,12/10/2022,Scorptec
RX 6700 XT,AMD,533,24/09/2022,Scorptec
RX 6750 XT,AMD,699,05/08/2022,PCByte
RX 6800,AMD,699,07/10/2022,Mwave
RX 6800 XT,AMD,799,22/07/2022,BPC Tech
RX 6900 XT,AMD,999,09/08/2022,Umart
RX 6950 XT,AMD,1599,08/06/2022,CentreCom
RTX 3050,Nvidia,349,08/06/2022,BPC Tech
RTX 3060,Nvidia,449,07/10/2022,Mwave
RTX 3060 Ti,Nvidia,599,06/10/2022,LMC
RTX 3070,Nvidia,699,29/07/2022,PCByte
RTX 3070 Ti,Nvidia,739,07/10/2022,PCByte
RTX 3080,Nvidia,999,07/10/2022,Mwave
RTX 3080 Ti,Nvidia,1199,16/09/2022,Evatech
RTX 3090,Nvidia,1400,28/09/2022,CCPU Computers
RTX 3090 Ti,Nvidia,1999,09/08/2022,Mwave
Arc A750,Intel,549,11/10/2022,CentreCom
Arc A770,Intel,699,11/10/2022,CentreCom